case_id,image_path,mask_path,split
1,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\1.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\1.nii.gz,train
10,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\10.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\10.nii.gz,train
100,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\100.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\100.nii.gz,train
1000,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\1000.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\1000.nii.gz,train
101,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\101.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\101.nii.gz,train
102,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\102.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\102.nii.gz,train
103,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\103.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\103.nii.gz,train
104,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\104.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\104.nii.gz,train
105,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\105.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\105.nii.gz,train
106,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\106.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\106.nii.gz,train
107,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\images\107.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\masks\107.nii.gz,test
108,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\108.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\108.nii.gz,train
109,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\109.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\109.nii.gz,train
11,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\11.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\11.nii.gz,train
110,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\110.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\110.nii.gz,train
111,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\111.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\111.nii.gz,train
112,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\112.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\112.nii.gz,train
113,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\113.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\113.nii.gz,train
114,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\114.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\114.nii.gz,train
115,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\115.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\115.nii.gz,train
116,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\116.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\116.nii.gz,train
117,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\117.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\117.nii.gz,train
118,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\118.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\118.nii.gz,train
119,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\images\119.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\masks\119.nii.gz,test
12,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\12.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\12.nii.gz,train
120,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\images\120.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\masks\120.nii.gz,test
121,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\121.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\121.nii.gz,train
122,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\122.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\122.nii.gz,train
123,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\123.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\123.nii.gz,train
124,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\124.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\124.nii.gz,train
125,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\images\125.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\masks\125.nii.gz,test
126,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\126.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\126.nii.gz,train
127,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\127.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\127.nii.gz,train
128,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\128.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\128.nii.gz,train
129,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\129.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\129.nii.gz,train
13,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\13.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\13.nii.gz,train
130,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\130.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\130.nii.gz,train
131,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\131.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\131.nii.gz,train
132,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\132.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\132.nii.gz,train
133,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\images\133.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\test\masks\133.nii.gz,test
134,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\134.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\134.nii.gz,train
135,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\135.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\135.nii.gz,train
136,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\images\136.nii.gz,C:\Users\edimv\Desktop\imagecas_stenosis_project\data\train\masks\136.nii.gz,train
